seed,mode,latch_physics,rgbd_valid,episode_steps,episode_return,full_success,reach_success,grasp_success,lift_success,entered_place,place_success,supervisor_grasp_confirmed,supervisor_task_complete,supervisor_failed,supervisor_failure_reason,sim_latch_ever,empty_grasp_confirmation,object_dropped,hold_lost_or_unlatched,max_tracker_truth_error_m_evaluator_only,source_consistency_failures,supervisor_events,privileged_events,sim_latch_first_step,privileged_release_first_step,initial_object_xyz,initial_goal_xyz,final_goal_xy_m,supervisor_stage,supervisor_grasp_phase,supervisor_last_diagnostics,final_gripper_state
10,deployable_fsm,True,True,900,-189.10825240413854,False,True,True,False,False,False,False,False,False,,False,False,False,False,0.019744285066893612,0,{'reach_to_grasp': 358},{'reach_to_grasp': 359},,,"[0.6368005128886927, -0.11692727596834125, 0.315]","[0.5680318291269495, -0.21068697495822605, 0.315]",0.133232985241335,1,0,"{'pregrasp_ready': False, 'grasp_xy_error': 0.009630900940252565, 'grasp_z_error': 0.0266892455843033, 'stable_geometry': False, 'gripper_stopped': True, 'blocked_before_full_close': True, 'effort_contact': False, 'sensor_hold': False, 'closing_command_active': False, 'object_lift': 0.0, 'goal_xy': 0.11594938181974923, 'stage_changed': False}","{'commanded_opening': 1.0, 'actual_opening': 0.9999780750399314, 'velocity': 4.684519684908237e-10, 'motion_status': 'stopped', 'actuator_effort': -0.0002959869749795438, 'fault': False, 'grasp_hold_confidence': 0.002959869749795438, 'timestamp': 21.35999999999904, 'valid': True, 'source': 'mujoco_gripper_sensor_proxy'}"
11,deployable_fsm,True,True,447,57741.19670210404,True,True,True,True,True,True,True,True,False,,True,False,False,False,0.012125602498151594,0,"{'reach_to_grasp': 251, 'grasp_confirmed': 290, 'grasp_to_lift': 290, 'lift_to_place': 314, 'release_commanded': 415, 'release_complete': 447}","{'reach_to_grasp': 252, 'grasp_to_lift': 291, 'lift_to_place': 315}",291,416,"[0.3885710608307599, -0.00028885502395400997, 0.315]","[0.29204098855536514, -0.017880152944373187, 0.315]",0.015982631501176216,5,3,"{'pregrasp_ready': False, 'grasp_xy_error': 0.007416176188141203, 'grasp_z_error': 0.0026199367307402355, 'stable_geometry': False, 'gripper_stopped': True, 'blocked_before_full_close': True, 'effort_contact': False, 'sensor_hold': True, 'closing_command_active': False, 'object_lift': 0.0, 'goal_xy': 0.005622574895292575, 'stage_changed': False}","{'commanded_opening': 1.0, 'actual_opening': 0.9946476656703926, 'velocity': 0.019872560572191132, 'motion_status': 'stopped', 'actuator_effort': -0.07285269026686436, 'fault': False, 'grasp_hold_confidence': 0.7285269026686436, 'timestamp': 12.300000000000777, 'valid': True, 'source': 'mujoco_gripper_sensor_proxy'}"
12,deployable_fsm,True,True,900,-143.4312636815661,False,True,True,False,False,False,False,False,False,,False,False,False,False,0.05832614614683254,0,{'reach_to_grasp': 229},{'reach_to_grasp': 230},,,"[0.42524733743253385, 0.17870117714376982, 0.315]","[0.3972475154294112, 0.11987972548431014, 0.315]",0.10376617024528521,1,1,"{'pregrasp_ready': True, 'grasp_xy_error': 0.003208185099451495, 'grasp_z_error': 0.03751132134528934, 'stable_geometry': False, 'gripper_stopped': True, 'blocked_before_full_close': True, 'effort_contact': False, 'sensor_hold': False, 'closing_command_active': False, 'object_lift': 0.0, 'goal_xy': 0.06479456806725034, 'stage_changed': False}","{'commanded_opening': 1.0, 'actual_opening': 0.9999780832314136, 'velocity': 1.9957268052097465e-10, 'motion_status': 'stopped', 'actuator_effort': -0.0002958763819040652, 'fault': False, 'grasp_hold_confidence': 0.002958763819040652, 'timestamp': 21.35999999999904, 'valid': True, 'source': 'mujoco_gripper_sensor_proxy'}"
13,deployable_fsm,True,True,524,57731.53165559028,True,True,True,True,True,True,True,True,False,,True,False,False,False,0.01369995446025385,0,"{'reach_to_grasp': 296, 'grasp_confirmed': 338, 'grasp_to_lift': 338, 'lift_to_place': 373, 'release_commanded': 492, 'release_complete': 524}","{'reach_to_grasp': 297, 'grasp_to_lift': 339, 'lift_to_place': 374}",339,493,"[0.609439276104976, 0.14212100597282362, 0.315]","[0.61769441469538, 0.027536115264089778, 0.315]",0.01836444149347876,5,3,"{'pregrasp_ready': False, 'grasp_xy_error': 0.00585567070760664, 'grasp_z_error': 0.00980023140323244, 'stable_geometry': True, 'gripper_stopped': True, 'blocked_before_full_close': True, 'effort_contact': False, 'sensor_hold': True, 'closing_command_active': False, 'object_lift': 0.0, 'goal_xy': 0.007131979745645503, 'stage_changed': False}","{'commanded_opening': 1.0, 'actual_opening': 0.9946477538722687, 'velocity': 0.01987282758540462, 'motion_status': 'stopped', 'actuator_effort': -0.07285150755193531, 'fault': False, 'grasp_hold_confidence': 0.7285150755193531, 'timestamp': 13.840000000001291, 'valid': True, 'source': 'mujoco_gripper_sensor_proxy'}"
14,deployable_fsm,True,True,900,-154.68982555066924,False,True,True,False,False,False,False,False,False,,False,False,False,False,0.020935813329577856,0,{'reach_to_grasp': 333},{'reach_to_grasp': 334},,,"[0.5992949956667335, -0.05562133326629737, 0.315]","[0.5315272992746418, 0.026171367952511862, 0.315]",0.09803535468423029,1,1,"{'pregrasp_ready': True, 'grasp_xy_error': 0.009122046960331292, 'grasp_z_error': 0.028753232863725275, 'stable_geometry': False, 'gripper_stopped': True, 'blocked_before_full_close': True, 'effort_contact': False, 'sensor_hold': False, 'closing_command_active': False, 'object_lift': 0.0, 'goal_xy': 0.10582257091038973, 'stage_changed': False}","{'commanded_opening': 1.0, 'actual_opening': 0.9999780762747309, 'velocity': 5.1857183911579445e-11, 'motion_status': 'stopped', 'actuator_effort': -0.0002959702926882294, 'fault': False, 'grasp_hold_confidence': 0.002959702926882294, 'timestamp': 21.35999999999904, 'valid': True, 'source': 'mujoco_gripper_sensor_proxy'}"
15,deployable_fsm,True,True,900,-22.3457662955703,False,True,True,False,False,False,False,False,False,,False,False,False,False,0.024825446649861683,0,{'reach_to_grasp': 282},{'reach_to_grasp': 283},,,"[0.5578230103895457, 0.126326844534423, 0.315]","[0.48332783446197264, 0.10476610890994889, 0.315]",0.07805650128774762,1,1,"{'pregrasp_ready': True, 'grasp_xy_error': 0.004411162142558746, 'grasp_z_error': 0.030184913469329833, 'stable_geometry': False, 'gripper_stopped': True, 'blocked_before_full_close': True, 'effort_contact': False, 'sensor_hold': False, 'closing_command_active': False, 'object_lift': 0.0, 'goal_xy': 0.077159740078245, 'stage_changed': False}","{'commanded_opening': 1.0, 'actual_opening': 0.9999780769221029, 'velocity': -2.360029976603389e-10, 'motion_status': 'stopped', 'actuator_effort': -0.00029596154453091647, 'fault': False, 'grasp_hold_confidence': 0.0029596154453091646, 'timestamp': 21.35999999999904, 'valid': True, 'source': 'mujoco_gripper_sensor_proxy'}"
16,deployable_fsm,True,True,900,-50.55449749272177,False,True,True,False,False,False,False,False,False,,False,False,False,False,0.02340007503889848,0,{'reach_to_grasp': 302},{'reach_to_grasp': 303},,,"[0.5200750516638095, -0.02770234180392578, 0.315]","[0.5533239129293784, -0.07464638391697485, 0.315]",0.07533572674862678,1,1,"{'pregrasp_ready': True, 'grasp_xy_error': 0.00857522241049937, 'grasp_z_error': 0.03191707508837527, 'stable_geometry': False, 'gripper_stopped': True, 'blocked_before_full_close': True, 'effort_contact': False, 'sensor_hold': False, 'closing_command_active': False, 'object_lift': 0.0, 'goal_xy': 0.05836405738127664, 'stage_changed': False}","{'commanded_opening': 1.0, 'actual_opening': 0.9999780802505566, 'velocity': -2.6645814168362374e-10, 'motion_status': 'stopped', 'actuator_effort': -0.0002959166094927704, 'fault': False, 'grasp_hold_confidence': 0.0029591660949277038, 'timestamp': 21.35999999999904, 'valid': True, 'source': 'mujoco_gripper_sensor_proxy'}"
17,deployable_fsm,True,True,900,-310.87750845880146,False,True,True,False,False,False,False,False,False,,False,False,False,False,0.02064510115956239,0,{'reach_to_grasp': 351},{'reach_to_grasp': 352},,,"[0.6035224378393704, -0.13561076353235724, 0.315]","[0.6674571767630232, -0.20536182811515286, 0.315]",0.09999216696580111,1,1,"{'pregrasp_ready': True, 'grasp_xy_error': 0.010187772004461242, 'grasp_z_error': 0.027948790764900033, 'stable_geometry': False, 'gripper_stopped': True, 'blocked_before_full_close': True, 'effort_contact': False, 'sensor_hold': False, 'closing_command_active': False, 'object_lift': 0.0, 'goal_xy': 0.09436953524715447, 'stage_changed': False}","{'commanded_opening': 1.0, 'actual_opening': 0.9999780768755433, 'velocity': 4.448998790300143e-10, 'motion_status': 'stopped', 'actuator_effort': -0.0002959621935128547, 'fault': False, 'grasp_hold_confidence': 0.002959621935128547, 'timestamp': 21.35999999999904, 'valid': True, 'source': 'mujoco_gripper_sensor_proxy'}"
18,deployable_fsm,True,True,900,14.375025075896927,False,True,True,False,False,False,False,False,False,,False,False,False,False,0.03353938217407302,0,{'reach_to_grasp': 261},{'reach_to_grasp': 262},,,"[0.4697917307652718, 0.08696587171528647, 0.315]","[0.4068963978262161, 0.05097311043171238, 0.315]",0.08195784788883732,1,1,"{'pregrasp_ready': True, 'grasp_xy_error': 0.005275805870338876, 'grasp_z_error': 0.03344898258776957, 'stable_geometry': False, 'gripper_stopped': True, 'blocked_before_full_close': True, 'effort_contact': False, 'sensor_hold': False, 'closing_command_active': False, 'object_lift': 0.0, 'goal_xy': 0.07168507381707323, 'stage_changed': False}","{'commanded_opening': 1.0, 'actual_opening': 0.9999780818357064, 'velocity': 5.3873370610162164e-11, 'motion_status': 'stopped', 'actuator_effort': -0.00029589521958048803, 'fault': False, 'grasp_hold_confidence': 0.00295895219580488, 'timestamp': 21.35999999999904, 'valid': True, 'source': 'mujoco_gripper_sensor_proxy'}"
19,deployable_fsm,True,True,900,-52.51655303970817,False,True,True,False,False,False,False,False,False,,False,False,False,False,0.048450003999456634,0,{'reach_to_grasp': 247},{'reach_to_grasp': 248},,,"[0.4761136387187782, 0.1703477379266815, 0.315]","[0.40926187170183415, 0.14385563193951087, 0.315]",0.07927879442027062,1,1,"{'pregrasp_ready': True, 'grasp_xy_error': 0.003080539349833039, 'grasp_z_error': 0.03266834690722098, 'stable_geometry': False, 'gripper_stopped': True, 'blocked_before_full_close': True, 'effort_contact': False, 'sensor_hold': False, 'closing_command_active': False, 'object_lift': 0.0, 'goal_xy': 0.07073879262058173, 'stage_changed': False}","{'commanded_opening': 1.0, 'actual_opening': 0.9999780806884909, 'velocity': 5.2347525610396166e-11, 'motion_status': 'stopped', 'actuator_effort': -0.00029591070694348295, 'fault': False, 'grasp_hold_confidence': 0.0029591070694348293, 'timestamp': 21.35999999999904, 'valid': True, 'source': 'mujoco_gripper_sensor_proxy'}"
20,deployable_fsm,True,True,900,-122.66640122458068,False,True,True,False,False,False,False,False,False,,False,False,False,False,0.0587490980781615,0,{'reach_to_grasp': 269},{'reach_to_grasp': 270},,,"[0.43402278878904776, -0.015541316078823142, 0.315]","[0.49315865768149236, -0.0070839568138443155, 0.315]",0.06751615218517058,1,1,"{'pregrasp_ready': True, 'grasp_xy_error': 0.007853760577930698, 'grasp_z_error': 0.03456530276949471, 'stable_geometry': False, 'gripper_stopped': True, 'blocked_before_full_close': True, 'effort_contact': False, 'sensor_hold': False, 'closing_command_active': False, 'object_lift': 0.0, 'goal_xy': 0.05987478116237925, 'stage_changed': False}","{'commanded_opening': 1.0, 'actual_opening': 0.9999780851727585, 'velocity': 4.692658007309553e-11, 'motion_status': 'stopped', 'actuator_effort': -0.0002958501691676866, 'fault': False, 'grasp_hold_confidence': 0.0029585016916768656, 'timestamp': 21.35999999999904, 'valid': True, 'source': 'mujoco_gripper_sensor_proxy'}"
21,deployable_fsm,True,True,900,-58.706328158236985,False,True,True,False,False,False,False,False,False,,False,False,False,False,0.020627097910979237,0,{'reach_to_grasp': 307},{'reach_to_grasp': 308},,,"[0.5843352766452413, 0.042338811828387224, 0.315]","[0.4938516095290371, -0.014366998983775026, 0.315]",0.11720537138442616,1,1,"{'pregrasp_ready': True, 'grasp_xy_error': 0.007043257063821415, 'grasp_z_error': 0.029543223713919153, 'stable_geometry': False, 'gripper_stopped': True, 'blocked_before_full_close': True, 'effort_contact': False, 'sensor_hold': False, 'closing_command_active': False, 'object_lift': 0.0, 'goal_xy': 0.10607970196280235, 'stage_changed': False}","{'commanded_opening': 1.0, 'actual_opening': 0.9999780762125089, 'velocity': 5.7370649954876e-11, 'motion_status': 'stopped', 'actuator_effort': -0.00029597113285086926, 'fault': False, 'grasp_hold_confidence': 0.0029597113285086923, 'timestamp': 21.35999999999904, 'valid': True, 'source': 'mujoco_gripper_sensor_proxy'}"
22,deployable_fsm,True,True,900,-139.1595522007847,False,True,True,False,False,False,False,False,False,,False,False,False,False,0.025510970062020563,0,{'reach_to_grasp': 303},{'reach_to_grasp': 304},,,"[0.4599040746296228, -0.12028184824996685, 0.315]","[0.4925247754578308, -0.07343583016299643, 0.315]",0.03689810658938959,1,1,"{'pregrasp_ready': True, 'grasp_xy_error': 0.00981943496795641, 'grasp_z_error': 0.03330568768974862, 'stable_geometry': False, 'gripper_stopped': True, 'blocked_before_full_close': True, 'effort_contact': False, 'sensor_hold': False, 'closing_command_active': False, 'object_lift': 0.0, 'goal_xy': 0.05667498150577152, 'stage_changed': False}","{'commanded_opening': 1.0, 'actual_opening': 0.9999780848470844, 'velocity': -1.0379986906788194e-11, 'motion_status': 'stopped', 'actuator_effort': -0.0002958545640489157, 'fault': False, 'grasp_hold_confidence': 0.002958545640489157, 'timestamp': 21.35999999999904, 'valid': True, 'source': 'mujoco_gripper_sensor_proxy'}"
23,deployable_fsm,True,True,900,-12.768138797194911,False,True,True,False,False,False,False,False,False,,False,False,False,False,0.022766086225886103,0,{'reach_to_grasp': 296},{'reach_to_grasp': 297},,,"[0.5581799241972093, 0.05658328835129223, 0.315]","[0.512632408395842, 0.01708020806446999, 0.315]",0.07346195633740132,1,1,"{'pregrasp_ready': True, 'grasp_xy_error': 0.006658364636062254, 'grasp_z_error': 0.03054938576451144, 'stable_geometry': False, 'gripper_stopped': True, 'blocked_before_full_close': True, 'effort_contact': False, 'sensor_hold': False, 'closing_command_active': False, 'object_lift': 0.0, 'goal_xy': 0.05957489167348099, 'stage_changed': False}","{'commanded_opening': 1.0, 'actual_opening': 0.9999780774256208, 'velocity': 2.132290171183569e-11, 'motion_status': 'stopped', 'actuator_effort': -0.0002959547547582494, 'fault': False, 'grasp_hold_confidence': 0.002959547547582494, 'timestamp': 21.35999999999904, 'valid': True, 'source': 'mujoco_gripper_sensor_proxy'}"
24,deployable_fsm,True,True,900,-37.69441371173508,False,True,True,False,False,False,False,False,False,,False,False,False,False,0.03183018637091601,0,{'reach_to_grasp': 278},{'reach_to_grasp': 279},,,"[0.44908065100079464, -0.037929073744342456, 0.315]","[0.5449820918764139, -0.03407070844625362, 0.315]",0.09409783913583625,1,1,"{'pregrasp_ready': True, 'grasp_xy_error': 0.008420553269340958, 'grasp_z_error': 0.034097990022308566, 'stable_geometry': False, 'gripper_stopped': True, 'blocked_before_full_close': True, 'effort_contact': False, 'sensor_hold': False, 'closing_command_active': False, 'object_lift': 0.0, 'goal_xy': 0.09582108299326528, 'stage_changed': False}","{'commanded_opening': 1.0, 'actual_opening': 0.9999780845347637, 'velocity': 4.7895373912581255e-11, 'motion_status': 'stopped', 'actuator_effort': -0.00029585878212734246, 'fault': False, 'grasp_hold_confidence': 0.0029585878212734246, 'timestamp': 21.35999999999904, 'valid': True, 'source': 'mujoco_gripper_sensor_proxy'}"
25,deployable_fsm,True,True,900,-123.22908575369445,False,True,True,False,False,False,False,False,False,,False,False,False,False,0.0271013814533259,0,{'reach_to_grasp': 326},{'reach_to_grasp': 327},,,"[0.3982163699696023, -0.19987518593159856, 0.315]","[0.443694233993782, -0.24952200784669923, 0.315]",0.07933501579986182,1,1,"{'pregrasp_ready': True, 'grasp_xy_error': 0.008800709907537145, 'grasp_z_error': 0.034202188601156536, 'stable_geometry': False, 'gripper_stopped': True, 'blocked_before_full_close': True, 'effort_contact': False, 'sensor_hold': False, 'closing_command_active': False, 'object_lift': 0.0, 'goal_xy': 0.06735182471459523, 'stage_changed': False}","{'commanded_opening': 1.0, 'actual_opening': 0.9999780900146913, 'velocity': 3.6163437824868095e-11, 'motion_status': 'stopped', 'actuator_effort': -0.0002957848027528507, 'fault': False, 'grasp_hold_confidence': 0.0029578480275285067, 'timestamp': 21.35999999999904, 'valid': True, 'source': 'mujoco_gripper_sensor_proxy'}"
26,deployable_fsm,True,True,900,-170.44313624519225,False,True,True,False,False,False,False,False,False,,False,False,False,False,0.023937121605702646,0,{'reach_to_grasp': 308},{'reach_to_grasp': 309},,,"[0.49747967528147136, -0.1062401904208334, 0.315]","[0.5102932678286743, -0.05233353880002929, 0.315]",0.03372653073978084,1,1,"{'pregrasp_ready': True, 'grasp_xy_error': 0.009901012007897067, 'grasp_z_error': 0.032255306566720265, 'stable_geometry': False, 'gripper_stopped': True, 'blocked_before_full_close': True, 'effort_contact': False, 'sensor_hold': False, 'closing_command_active': False, 'object_lift': 0.0, 'goal_xy': 0.0551310479395766, 'stage_changed': False}","{'commanded_opening': 1.0, 'actual_opening': 0.9999780824323958, 'velocity': 4.0736607923011227e-10, 'motion_status': 'stopped', 'actuator_effort': -0.0002958871748774572, 'fault': False, 'grasp_hold_confidence': 0.0029588717487745715, 'timestamp': 21.35999999999904, 'valid': True, 'source': 'mujoco_gripper_sensor_proxy'}"
