mode,seed,step,stage,reward,visual_error_m_evaluator_only,truth_object_x_evaluator_only,estimated_object_x
rgbd,0,1,Reach,-0.9086456946095994,0.000458498788197514,0.5410885061964363,0.5414887465849186
rgbd,0,2,Reach,-0.9328594064542266,0.000458498788197514,0.5410885061964363,0.5414887465849186
rgbd,0,3,Reach,-0.9319866915504403,0.000458498788197514,0.5410885061964363,0.5414887465849186
rgbd,0,4,Reach,-0.9312071708470477,0.000458498788197514,0.5410885061964363,0.5414887465849186
rgbd,0,5,Reach,-0.9304164284388814,0.000458498788197514,0.5410885061964363,0.5414887465849186
rgbd,0,6,Reach,-0.9296155440488297,0.000458498788197514,0.5410885061964363,0.5414887465849186
rgbd,0,7,Reach,-0.9288057857815224,0.000458498788197514,0.5410885061964363,0.5414887465849186
rgbd,0,8,Reach,-0.9279881669492653,0.000458498788197514,0.5410885061964363,0.5414887465849186
rgbd,0,9,Reach,-0.9271635706683825,0.000458498788197514,0.5410885061964363,0.5414887465849186
rgbd,0,10,Reach,-0.926332800089102,0.000458498788197514,0.5410885061964363,0.5414887465849186
rgbd,0,11,Reach,-0.9254966010142185,0.000458498788197514,0.5410885061964363,0.5414887465849186
rgbd,0,12,Reach,-0.9246556738276644,0.000458498788197514,0.5410885061964363,0.5414887465849186
rgbd,0,13,Reach,-0.9238106803387892,0.000458498788197514,0.5410885061964363,0.5414887465849186
rgbd,0,14,Reach,-0.9229622479897973,0.000458498788197514,0.5410885061964363,0.5414887465849186
rgbd,0,15,Reach,-0.9221109728613563,0.000458498788197514,0.5410885061964363,0.5414887465849186
rgbd,0,16,Reach,-0.9212574218405731,0.000458498788197514,0.5410885061964363,0.5414887465849186
rgbd,0,17,Reach,-0.9204021344661368,0.000458498788197514,0.5410885061964363,0.5414887465849186
rgbd,0,18,Reach,-0.9195456245294632,0.000458498788197514,0.5410885061964363,0.5414887465849186
rgbd,0,19,Reach,-0.9186883814297089,0.000458498788197514,0.5410885061964363,0.5414887465849186
rgbd,0,20,Reach,-0.9178308714842562,0.000458498788197514,0.5410885061964363,0.5414887465849186
rgbd,0,21,Reach,-0.9169735391232853,0.000458498788197514,0.5410885061964363,0.5414887465849186
rgbd,0,22,Reach,-0.9161168080047506,0.000458498788197514,0.5410885061964363,0.5414887465849186
rgbd,0,23,Reach,-0.9152610820261221,0.000458498788197514,0.5410885061964363,0.5414887465849186
rgbd,0,24,Reach,-0.914406746307484,0.000458498788197514,0.5410885061964363,0.5414887465849186
rgbd,0,25,Reach,-0.9135541681425265,0.000458498788197514,0.5410885061964363,0.5414887465849186
rgbd,0,26,Reach,-0.9127036978331622,0.000458498788197514,0.5410885061964363,0.5414887465849186
rgbd,0,27,Reach,-0.9118556695286617,0.000458498788197514,0.5410885061964363,0.5414887465849186
rgbd,0,28,Reach,-0.9110104020084178,0.000458498788197514,0.5410885061964363,0.5414887465849186
rgbd,0,29,Reach,-0.9101681993743758,0.000458498788197514,0.5410885061964363,0.5414887465849186
rgbd,0,30,Reach,-0.9093293517825622,0.000458498788197514,0.5410885061964363,0.5414887465849186
rgbd,0,31,Reach,-0.9084953900217276,0.000458498788197514,0.5410885061964363,0.5414887465849186
rgbd,0,32,Reach,-0.9076669062191941,0.000458498788197514,0.5410885061964363,0.5414887465849186
rgbd,0,33,Reach,-0.9068439501496963,0.000458498788197514,0.5410885061964363,0.5414887465849186
rgbd,0,34,Reach,-0.9060266955639684,0.000458498788197514,0.5410885061964363,0.5414887465849186
rgbd,0,35,Reach,-0.9052153114388035,0.000458498788197514,0.5410885061964363,0.5414887465849186
rgbd,0,36,Reach,-0.9044099600898624,0.000458498788197514,0.5410885061964363,0.5414887465849186
rgbd,0,37,Reach,-0.9036107963312455,0.000458498788197514,0.5410885061964363,0.5414887465849186
rgbd,0,38,Reach,-0.9028179673999243,0.000458498788197514,0.5410885061964363,0.5414887465849186
rgbd,0,39,Reach,-0.9020316130848811,0.000458498788197514,0.5410885061964363,0.5414887465849186
rgbd,0,40,Reach,-0.9012518659196749,0.000458498788197514,0.5410885061964363,0.5414887465849186
rgbd,0,41,Reach,-0.9004788515110852,0.000458498788197514,0.5410885061964363,0.5414887465849186
rgbd,0,42,Reach,-0.8997126887807954,0.000458498788197514,0.5410885061964363,0.5414887465849186
rgbd,0,43,Reach,-0.8989534902242168,0.000458498788197514,0.5410885061964363,0.5414887465849186
rgbd,0,44,Reach,-0.8982013622441065,0.000458498788197514,0.5410885061964363,0.5414887465849186
rgbd,0,45,Reach,-0.8974564053955665,0.000458498788197514,0.5410885061964363,0.5414887465849186
rgbd,0,46,Reach,-0.8967187145844385,0.000458498788197514,0.5410885061964363,0.5414887465849186
rgbd,0,47,Reach,-0.8959883793814756,0.000458498788197514,0.5410885061964363,0.5414887465849186
rgbd,0,48,Reach,-0.8952654841679701,0.000458498788197514,0.5410885061964363,0.5414887465849186
rgbd,0,49,Reach,-0.894550108419747,0.000458498788197514,0.5410885061964363,0.5414887465849186
rgbd,0,50,Reach,-0.8938423268703055,0.000458498788197514,0.5410885061964363,0.5414887465849186
rgbd,0,51,Reach,-0.8931422097217108,0.000458498788197514,0.5410885061964363,0.5414887465849186
rgbd,0,52,Reach,-0.8924498228185169,0.000458498788197514,0.5410885061964363,0.5414887465849186
rgbd,0,53,Reach,-0.891765227842624,0.000458498788197514,0.5410885061964363,0.5414887465849186
rgbd,0,54,Reach,-0.8910884824959009,0.000458498788197514,0.5410885061964363,0.5414887465849186
rgbd,0,55,Reach,-0.8904196405760884,0.000458498788197514,0.5410885061964363,0.5414887465849186
rgbd,0,56,Reach,-0.8897587522235397,0.000458498788197514,0.5410885061964363,0.5414887465849186
rgbd,0,57,Reach,-0.8891058640200209,0.000458498788197514,0.5410885061964363,0.5414887465849186
rgbd,0,58,Reach,-0.8884610191463592,0.000458498788197514,0.5410885061964363,0.5414887465849186
rgbd,0,59,Reach,-0.8878242574953743,0.000458498788197514,0.5410885061964363,0.5414887465849186
rgbd,0,60,Reach,-0.8871956158296073,0.000458498788197514,0.5410885061964363,0.5414887465849186
rgbd,0,61,Reach,-0.8865751278476351,0.000458498788197514,0.5410885061964363,0.5414887465849186
rgbd,0,62,Reach,-0.8859888411188538,0.000458498788197514,0.5410885061964363,0.5414887465849186
rgbd,0,63,Reach,-0.8854343711717827,0.000458498788197514,0.5410885061964363,0.5414887465849186
rgbd,0,64,Reach,-0.8848922944499267,0.000458498788197514,0.5410885061964363,0.5414887465849186
rgbd,0,65,Reach,-0.88416035772473,0.000458498788197514,0.5410885061964363,0.5414887465849186
rgbd,0,66,Reach,-0.883557462344488,0.000458498788197514,0.5410885061964363,0.5414887465849186
rgbd,0,67,Reach,-0.882982371591774,0.000458498788197514,0.5410885061964363,0.5414887465849186
rgbd,0,68,Reach,-0.8824152714190956,0.000458498788197514,0.5410885061964363,0.5414887465849186
rgbd,0,69,Reach,-0.8818575841322509,0.000458498788197514,0.5410885061964363,0.5414887465849186
rgbd,0,70,Reach,-0.8813095979314661,0.000458498788197514,0.5410885061964363,0.5414887465849186
rgbd,0,71,Reach,-0.8807714180776843,0.000458498788197514,0.5410885061964363,0.5414887465849186
rgbd,0,72,Reach,-0.880243055606241,0.000458498788197514,0.5410885061964363,0.5414887465849186
rgbd,0,73,Reach,-0.8797244750304001,0.000458498788197514,0.5410885061964363,0.5414887465849186
rgbd,0,74,Reach,-0.8792156182025035,0.000458498788197514,0.5410885061964363,0.5414887465849186
rgbd,0,75,Reach,-0.8787164162939818,0.000458498788197514,0.5410885061964363,0.5414887465849186
rgbd,0,76,Reach,-0.8782267957532315,0.000458498788197514,0.5410885061964363,0.5414887465849186
rgbd,0,77,Reach,-0.8777466812684813,0.000458498788197514,0.5410885061964363,0.5414887465849186
rgbd,0,78,Reach,-0.8772759971498373,0.000458498788197514,0.5410885061964363,0.5414887465849186
rgbd,0,79,Reach,-0.8768146679598245,0.000458498788197514,0.5410885061964363,0.5414887465849186
rgbd,0,80,Reach,-0.8763626187483424,0.000458498788197514,0.5410885061964363,0.5414887465849186
rgbd,0,81,Reach,-0.8759197750568262,0.000458498788197514,0.5410885061964363,0.5414887465849186
rgbd,0,82,Reach,-0.8754860628768206,0.000458498788197514,0.5410885061964363,0.5414887465849186
rgbd,0,83,Reach,-0.875061408588237,0.000458498788197514,0.5410885061964363,0.5414887465849186
rgbd,0,84,Reach,-0.8746457387490633,0.000458498788197514,0.5410885061964363,0.5414887465849186
rgbd,0,85,Reach,-0.8742389800316842,0.000458498788197514,0.5410885061964363,0.5414887465849186
rgbd,0,86,Reach,-0.8738410590812862,0.000458498788197514,0.5410885061964363,0.5414887465849186
rgbd,0,87,Reach,-0.8734519023343889,0.000458498788197514,0.5410885061964363,0.5414887465849186
rgbd,0,88,Reach,-0.8730714359333158,0.000458498788197514,0.5410885061964363,0.5414887465849186
rgbd,0,89,Reach,-0.8726995855844984,0.000458498788197514,0.5410885061964363,0.5414887465849186
rgbd,0,90,Reach,-0.8723362764437259,0.000458498788197514,0.5410885061964363,0.5414887465849186
rgbd,0,91,Reach,-0.8719814329970899,0.000458498788197514,0.5410885061964363,0.5414887465849186
rgbd,0,92,Reach,-0.8716349789365883,0.000458498788197514,0.5410885061964363,0.5414887465849186
rgbd,0,93,Reach,-0.8712968370441003,0.000458498788197514,0.5410885061964363,0.5414887465849186
rgbd,0,94,Reach,-0.870966929098441,0.000458498788197514,0.5410885061964363,0.5414887465849186
rgbd,0,95,Reach,-0.8706451757755207,0.000458498788197514,0.5410885061964363,0.5414887465849186
rgbd,0,96,Reach,-0.8703314965399165,0.000458498788197514,0.5410885061964363,0.5414887465849186
rgbd,0,97,Reach,-0.8700258095572337,0.000458498788197514,0.5410885061964363,0.5414887465849186
rgbd,0,98,Reach,-0.8697280315646858,0.000458498788197514,0.5410885061964363,0.5414887465849186
rgbd,0,99,Reach,-0.8694380778494195,0.000458498788197514,0.5410885061964363,0.5414887465849186
rgbd,0,100,Reach,-0.8691558621126804,0.000458498788197514,0.5410885061964363,0.5414887465849186
rgbd,0,101,Reach,-0.8688812964002821,0.000458498788197514,0.5410885061964363,0.5414887465849186
rgbd,0,102,Reach,-0.8686142910588112,0.000458498788197514,0.5410885061964363,0.5414887465849186
rgbd,0,103,Reach,-0.8683547546217845,0.000458498788197514,0.5410885061964363,0.5414887465849186
rgbd,0,104,Reach,-0.8681025937878261,0.000458498788197514,0.5410885061964363,0.5414887465849186
rgbd,0,105,Reach,-0.8678577150607953,0.000458498788197514,0.5410885061964363,0.5414887465849186
rgbd,0,106,Reach,-0.8676200692771586,0.000458498788197514,0.5410885061964363,0.5414887465849186
rgbd,0,107,Reach,-0.867389518031763,0.000458498788197514,0.5410885061964363,0.5414887465849186
rgbd,0,108,Reach,-0.8671659508536402,0.000458498788197514,0.5410885061964363,0.5414887465849186
rgbd,0,109,Reach,-0.8669492646988073,0.000458498788197514,0.5410885061964363,0.5414887465849186
rgbd,0,110,Reach,-0.8667393543345628,0.000458498788197514,0.5410885061964363,0.5414887465849186
rgbd,0,111,Reach,-0.8665361124007073,0.000458498788197514,0.5410885061964363,0.5414887465849186
rgbd,0,112,Reach,-0.8663394293427793,0.000458498788197514,0.5410885061964363,0.5414887465849186
rgbd,0,113,Reach,-0.8661491934304983,0.000458498788197514,0.5410885061964363,0.5414887465849186
rgbd,0,114,Reach,-0.865965290753951,0.000458498788197514,0.5410885061964363,0.5414887465849186
rgbd,0,115,Reach,-0.8657876052157489,0.000458498788197514,0.5410885061964363,0.5414887465849186
rgbd,0,116,Reach,-0.8656160186290531,0.000458498788197514,0.5410885061964363,0.5414887465849186
rgbd,0,117,Reach,-0.8654504107276992,0.000458498788197514,0.5410885061964363,0.5414887465849186
rgbd,0,118,Reach,-0.8652906592798861,0.000458498788197514,0.5410885061964363,0.5414887465849186
rgbd,0,119,Reach,-0.8651366401385837,0.000458498788197514,0.5410885061964363,0.5414887465849186
rgbd,0,120,Reach,-0.8649882273572911,0.000458498788197514,0.5410885061964363,0.5414887465849186
rgbd,0,121,Reach,-0.864845293298597,0.000458498788197514,0.5410885061964363,0.5414887465849186
rgbd,0,122,Reach,-0.8647077087701825,0.000458498788197514,0.5410885061964363,0.5414887465849186
rgbd,0,123,Reach,-0.864575343142787,0.000458498788197514,0.5410885061964363,0.5414887465849186
rgbd,0,124,Reach,-0.8644480644977393,0.000458498788197514,0.5410885061964363,0.5414887465849186
rgbd,0,125,Reach,-0.8643257398430122,0.000458498788197514,0.5410885061964363,0.5414887465849186
rgbd,0,126,Reach,-0.8642082352394419,0.000458498788197514,0.5410885061964363,0.5414887465849186
rgbd,0,127,Reach,-0.8640954160017685,0.000458498788197514,0.5410885061964363,0.5414887465849186
rgbd,0,128,Reach,-0.8639871469158438,0.000458498788197514,0.5410885061964363,0.5414887465849186
rgbd,0,129,Reach,-0.8638832924432586,0.000458498788197514,0.5410885061964363,0.5414887465849186
rgbd,0,130,Reach,-0.8637837169429253,0.000458498788197514,0.5410885061964363,0.5414887465849186
rgbd,0,131,Reach,-0.8636882849183494,0.000458498788197514,0.5410885061964363,0.5414887465849186
rgbd,0,132,Reach,-0.8635968612476532,0.000458498788197514,0.5410885061964363,0.5414887465849186
rgbd,0,133,Reach,-0.8635093114161005,0.000458498788197514,0.5410885061964363,0.5414887465849186
rgbd,0,134,Reach,-0.8634255018165391,0.000458498788197514,0.5410885061964363,0.5414887465849186
rgbd,0,135,Reach,-0.8633452999763611,0.000458498788197514,0.5410885061964363,0.5414887465849186
rgbd,0,136,Reach,-0.8632685748550091,0.000458498788197514,0.5410885061964363,0.5414887465849186
rgbd,0,137,Reach,-0.8631951970584322,0.000458498788197514,0.5410885061964363,0.5414887465849186
rgbd,0,138,Reach,-0.8631250391376983,0.000458498788197514,0.5410885061964363,0.5414887465849186
rgbd,0,139,Reach,-0.8630579758753021,0.000458498788197514,0.5410885061964363,0.5414887465849186
rgbd,0,140,Reach,-0.8629938845174956,0.000458498788197514,0.5410885061964363,0.5414887465849186
rgbd,0,141,Reach,-0.8629326450586496,0.000458498788197514,0.5410885061964363,0.5414887465849186
rgbd,0,142,Reach,-0.8628741404947353,0.000458498788197514,0.5410885061964363,0.5414887465849186
rgbd,0,143,Reach,-0.862818257061788,0.000458498788197514,0.5410885061964363,0.5414887465849186
rgbd,0,144,Reach,-0.8627648844587328,0.000458498788197514,0.5410885061964363,0.5414887465849186
rgbd,0,145,Reach,-0.8627139161357884,0.000458498788197514,0.5410885061964363,0.5414887465849186
rgbd,0,146,Reach,-0.8626652494944411,0.000458498788197514,0.5410885061964363,0.5414887465849186
