control_executed,episode_steps,final_estimated_goal_xy_error_m,final_object_xyz_evaluator_only,final_true_goal_abs_x_error_m,final_true_goal_abs_y_error_m,final_true_goal_xy_error_m,full_success,goal_detected,goal_failure_reason,goal_xy_error_m,initial_object_xyz,object_detected,object_failure_reason,object_xy_error_m,place_success,seed,true_goal_xyz_evaluator_only,object_inside_goal_region_xy
True,386,0.0067222283250056,"[0.40996940465883813, 0.1510837963966461, 0.3193096679067259]",0.0007075329570039,0.0072281644571352,0.0072627105342729,True,True,,0.0005421575279344,"[0.4761136387187782, 0.1703477379266815, 0.315]",True,,0.0017648575031642,True,19,"[0.40926187170183415, 0.14385563193951087, 0.315]",False
True,402,0.0074975536964765,"[0.48771690661334965, -0.004033401968247291, 0.3188974029641368]",0.0054417510681427,0.003050554845597,0.0062384725336918,True,True,,0.0012887963261719,"[0.43402278878904776, -0.015541316078823142, 0.315]",True,,0.0009472477324676,True,20,"[0.49315865768149236, -0.0070839568138443155, 0.315]",False
True,506,0.0078084362250028,"[0.4980251829376769, -0.00802007443219435, 0.31754835421048644]",0.0041735734086397,0.0063469245515806,0.00759619419583,True,True,,0.0006669650057266,"[0.5843352766452413, 0.042338811828387224, 0.315]",True,,0.0005526476577849,True,21,"[0.4938516095290371, -0.014366998983775026, 0.315]",False
True,419,0.0037362773826264,"[0.4888191960008656, -0.07465978573975657, 0.3171638815435678]",0.0037055794569652,0.0012239555767601,0.0039024846400421,True,True,,0.0002681009539399,"[0.4599040746296228, -0.12028184824996685, 0.315]",True,,0.0002275249890032,True,22,"[0.4925247754578308, -0.07343583016299643, 0.315]",True
True,438,0.0085516122255051,"[0.5167755328775275, 0.024697829485409196, 0.3186727769889816]",0.0041431244816855,0.0076176214209392,0.0086714264445645,True,True,,0.0007753353030731,"[0.5581799241972093, 0.05658328835129223, 0.315]",True,,0.0004502929995587,True,23,"[0.512632408395842, 0.01708020806446999, 0.315]",False
True,447,0.0081098339153275,"[0.5393924191334677, -0.02915107346586393, 0.3180625939173246]",0.0055896727429461,0.0049196349803896,0.0074462910038158,True,True,,0.0006679622259474,"[0.44908065100079464, -0.037929073744342456, 0.315]",True,,0.0006396173918438,True,24,"[0.5449820918764139, -0.03407070844625362, 0.315]",False
True,485,0.0108439607543371,"[0.4439090267237291, -0.24299212821834595, 0.3177242430152962]",0.0002147927299471,0.0065298796283532,0.0065334113507126,True,True,,0.0043538753386842,"[0.3982163699696023, -0.19987518593159856, 0.315]",True,,0.0010470515579696,True,25,"[0.443694233993782, -0.24952200784669923, 0.315]",False
True,423,0.0024630365528151,"[0.5108528019022742, -0.05608579038239927, 0.3182900885813936]",0.0005595340735998,0.0037522515823699,0.0037937409396158,True,True,,0.0018531605601995,"[0.49747967528147136, -0.1062401904208334, 0.315]",True,,0.0002308458234,True,26,"[0.5102932678286743, -0.05233353880002929, 0.315]",True
True,468,0.0097337941547379,"[0.5885361622981568, -0.12012116575222487, 0.31478567586530914]",0.0025857521017349,0.0077801973900743,0.0081986331397463,True,True,,0.0026231539181139,"[0.5593208649430356, -0.07447429111102735, 0.315]",True,,0.0005810232137946,True,27,"[0.5859504101964218, -0.12790136314229925, 0.315]",False
False,0,,,,,,False,False,ArUco goal capture failed closed before PPO: seed=28; reason=insufficient_valid_frames:0/8;failures={'marker_not_detected': 30}; failures={'marker_not_detected': 30},,,False,not_attempted_after_goal_fail_closed,,False,28,,False
True,453,0.0110447007910796,"[0.37213507323528844, -0.07863810351602636, 0.3213916466741769]",0.0016099263299493,0.0099543737231426,0.0100837204943342,True,True,,0.0010784479757697,"[0.36501409110622063, 0.0025289194285797456, 0.315]",True,,0.0011522033399125,True,29,"[0.3737449995652378, -0.08859247723916898, 0.315]",False
True,392,0.0071743080995627,"[0.4623361805921622, 0.004994977528318742, 0.3185587100601604]",0.0063432760094495,0.0018172793560536,0.0065984585161987,True,True,,0.0006207243557939,"[0.42073964144375986, -0.028357200533675547, 0.315]",True,,0.0001912516320809,True,30,"[0.4686794566016117, 0.0031776981722651323, 0.315]",False
False,0,,,,,,False,False,ArUco goal capture failed closed before PPO: seed=31; reason=insufficient_valid_frames:0/8;failures={'marker_not_detected': 30}; failures={'marker_not_detected': 30},,,False,not_attempted_after_goal_fail_closed,,False,31,,False
True,430,0.0107577252190855,"[0.4304314900314728, -0.033493221116261594, 0.3203876751144984]",0.0031083804670277,0.0095139005232825,0.0100088127315239,True,True,,0.0007490085579449,"[0.3980728491124304, 0.028891798188833556, 0.315]",True,,0.0003705093685352,True,32,"[0.4335398704985005, -0.04300712163954415, 0.315]",False
True,510,0.0089248124812989,"[0.48698984156510194, -0.08737579550163908, 0.31797637677798946]",0.0006227601242236,0.007832312551295,0.0078570318870103,True,True,,0.0011964060739905,"[0.48309267108880016, 0.02739647676982257, 0.315]",True,,0.0010638276587924,True,33,"[0.48636708144087826, -0.09520810805293414, 0.315]",False
True,349,0.0095521274383123,"[0.3818298504137253, 0.20734490039662742, 0.3204108262464892]",0.0098069092100722,0.0020418257465571,0.0100172112203897,True,True,,0.0017612718083,"[0.35120847304791303, 0.14887076570821695, 0.315]",True,,0.002311037701559,True,34,"[0.3916367596237975, 0.2053030746500703, 0.315]",False
True,455,0.0049139632956989,"[0.33591398256441724, 0.02785186950043225, 0.3207564228681107]",0.0024287549247444,0.0035286952577753,0.0042837531099161,True,True,,0.0007371634049234,"[0.4513848676651174, -0.016601777558658826, 0.315]",True,,0.0010410850887269,True,35,"[0.33348522763967275, 0.024323174242656932, 0.315]",True
True,487,0.0094925547308282,"[0.5014391769373867, -0.10277761529186753, 0.3168120230230767]",0.0025487378124096,0.0072401156852501,0.0076756328450631,True,True,,0.0018433899908672,"[0.40418992736725085, -0.04070529570573264, 0.315]",True,,0.0009046216786141,True,36,"[0.5039879147497963, -0.11001773097711771, 0.315]",False
True,414,0.0056051102561108,"[0.5768366985725825, 0.11323337509960198, 0.31470817948488744]",0.0006335668482349,0.0045300696665526,0.0045741598283184,True,True,,0.0017762277788907,"[0.5612459094840709, 0.06466748832098962, 0.315]",True,,0.000919527938795,True,37,"[0.5774702654208174, 0.11776344476615458, 0.315]",True
True,468,0.0044669642100794,"[0.5654407285042624, -0.022571515191921424, 0.31602680746153206]",0.0016605014860862,0.0030278217750095,0.0034532549698098,True,True,,0.0026466078399881,"[0.49572831345136026, -0.10010565637396898, 0.315]",True,,0.0013043107933827,True,38,"[0.5671012299903486, -0.019543693416911853, 0.315]",True
True,435,0.0080873794646537,"[0.5218589993765006, -0.034509240086665185, 0.3177858141538264]",0.0002282936285372,0.0068461448944673,0.0068499502112695,True,True,,0.0019095223320425,"[0.5005135871454225, 0.015734162482595432, 0.315]",True,,0.0011660482638619,True,39,"[0.5216307057479633, -0.04135538498113252, 0.315]",False
True,505,0.0069349309689122,"[0.4548489674349365, 0.03766880826812212, 0.31927791660926264]",0.0025309281717287,0.0061936831277214,0.0066908376229789,True,True,,0.0002809899206581,"[0.5689695485794153, 0.07736598272075212, 0.315]",True,,0.0001559546449924,True,40,"[0.4523180392632078, 0.03147512514040069, 0.315]",False
False,0,,,,,,False,False,ArUco goal capture failed closed before PPO: seed=41; reason=insufficient_valid_frames:0/8;failures={'marker_not_detected': 30}; failures={'marker_not_detected': 30},,,False,not_attempted_after_goal_fail_closed,,False,41,,False
